M16Ï1A30B70C40D12T02 1,3,20
M16Ï1A30B70C50D12T02 1,3,21
M16Ï1A30B70C60D12T02 1,3,22
M16Ï1A30B70C70D12T02 1,3,23
M16Ï1A30B70C80D12T02 1,3,24
M16Ï1A30B70C10D22T02 1,3,25
M16Ï1A30B70C20D22T02 1,3,26
M16Ï1A30B70C30D22T02 1,3,27
M16Ï1A30B70C40D22T02 1,3,28
M16Ï1A30B70C50D22T02 1,3,29
M16Ï1A30B70C60D22T02 1,3,30
M16Ï1A30B70C70D22T02 1,3,31
M16Ï1A30B70C80D22T02 1,3,32
M16Ï1A70B30C10D12T02 1,3,33
M16Ï1A70B30C20D12T02 1,3,34
M16Ï1A70B30C30D12T02 1,3,35
M16Ï1A70B30C40D12T02 1,3,36
M16Ï1A70B30C50D12T02 1,3,37
M16Ï1A70B30C60D12T02 1,3,38
M16Ï1A70B30C70D12T02 1,3,39
M16Ï1A70B30C80D12T02 1,3,40
M16Ï1A40B10C10D12T02 2,1,1
M16Ï1A40B10C20D12T02 2,1,2
M16Ï1A40B10C30D12T02 2,1,3
M16Ï1A40B10C40D12T02 2,1,4
M16Ï1A40B10C50D12T02 2,1,5
M16Ï1A40B10C60D12T02 2,1,6
M16Ï1A40B10C70D12T02 2,1,7
M16Ï1A40B10C80D12T02 2,1,8
M16Ï1A40B10C10D22T02 2,1,9
M16Ï1A40B10C20D22T02 2,1,10
M16Ï1A40B10C30D22T02 2,1,11
M16Ï1A40B10C40D22T02 2,1,12
M16Ï1A40B10C50D22T02 2,1,13
M16Ï1A40B10C60D22T02 2,1,14
M16Ï1A40B10C70D22T02 2,1,15
M16Ï1A40B10C80D22T02 2,1,16
M16Ï1A40B50C10D12T02 2,1,17
M16Ï1A40B50C20D12T02 2,1,18
M16Ï1A40B50C30D12T02 2,1,19
M16Ï1A40B50C40D12T02 2,1,20
M16Ï1A40B50C50D12T02 2,1,21
M16Ï1A40B50C60D12T02 2,1,22
M16Ï1A40B50C70D12T02 2,1,23
M16Ï1A40B50C80D12T02 2,1,24
M16Ï1A40B50C10D22T02 2,1,25
M16Ï1A40B50C20D22T02 2,1,26
M16Ï1A40B50C30D22T02 2,1,27
M16Ï1A40B50C40D22T02 2,1,28 
M16Ï1A40B50C50D22T02 2,1,29
M16Ï1A40B50C60D22T02 2,1,30
M16Ï1A40B50C70D22T02 2,1,31
M16Ï1A40B50C80D22T02 2,1,32
M16Ï1A80B10C10D12T02 2,1,33
M16Ï1A80B10C20D12T02 2,1,34
M16Ï1A80B10C30D12T02 2,1,35
M16Ï1A80B10C40D12T02 2,1,36
M16Ï1A80B10C50D12T02 2,1,37
M16Ï1A80B10C60D12T02 2,1,38
M16Ï1A80B10C70D12T02 2,1,39
M16Ï1A80B10C80D12T02 2,1,40
M16Ï1A40B20C10D12T02 2,2,1
M16Ï1A40B20C20D12T02 2,2,2
M16Ï1A40B20C30D12T02 2,2,3
M16Ï1A40B20C40D12T02 2,2,4
M16Ï1A40B20C50D12T02 2,2,5
M16Ï1A40B20C60D12T02 2,2,6
M16Ï1A40B20C70D12T02 2,2,7
